geek_rate,title,num_votes,avg_rate,id
8.467,Pandemic Legacy: Season 1,14891,8.66,161936
8.296,Through the Ages: A New Story of Civilization,5765,8.79,182028
8.225,Twilight Struggle,25952,8.36,12333
8.152,Terra Mystica,22120,8.29,120677
8.112,Star Wars: Rebellion,6601,8.56,187645
8.075,Scythe,11146,8.37,169786
8.026,7 Wonders Duel,16882,8.21,173346
8.025,Caverna: The Cave Farmers,15635,8.20,102794
7.996,The Castles of Burgundy,23414,8.11,84876
7.995,Puerto Rico,46474,8.10,3076
7.976,Agricola,46895,8.07,31260
7.948,Through the Ages: A Story of Civilization,15112,8.11,25613
7.946,Mage Knight Board Game,17285,8.14,96848
7.934,Blood Rage,11132,8.19,170216
7.933,War of the Ring (Second Edition),5810,8.36,115746
7.924,Star Wars: Imperial Assault,10138,8.24,164153
7.874,Power Grid,40849,7.95,2651
7.872,Eclipse,19590,8.03,72125
7.861,Terraforming Mars,4978,8.36,167791
7.845,Android: Netrunner,19575,8.03,124742
7.841,Robinson Crusoe: Adventures on the Cursed Island,16634,8.02,121921
7.838,Codenames,26104,7.95,178900
7.819,Le Havre,18510,7.94,35677
7.812,Brass,10395,8.01,28720
7.804,T.I.M.E Stories,8454,8.09,146508
7.799,Tzolk'in: The Mayan Calendar,16832,7.95,126163
7.783,Mansions of Madness: Second Edition,4510,8.37,205059
7.771,Orléans,7236,8.07,164928
7.768,Food Chain Magnate,4168,8.28,175914
7.759,Keyflower,10972,7.95,122515
7.759,Mechs vs. Minions,3168,8.50,209010
7.757,7 Wonders,49293,7.84,68448
7.740,Dead of Winter: A Crossroads Game,21069,7.89,150376
7.737,The Voyages of Marco Polo,8169,8.01,171623
7.737,Caylus,21421,7.87,18602
7.731,Concordia,9078,7.96,124361
7.719,Eldritch Horror,14991,7.95,146021
7.709,Twilight Imperium (Third Edition),14515,7.92,12493
7.699,Patchwork,15885,7.85,163412
7.696,Roll for the Galaxy,12880,7.87,132531
7.696,Dominant Species,12530,7.87,62219
7.685,Race for the Galaxy,33348,7.77,28143
7.685,Five Tribes,15710,7.84,157354
7.684,El Grande,18000,7.81,93
7.682,Viticulture Essential Edition,3874,8.21,183394
7.682,Lords of Waterdeep,27545,7.80,110327
7.681,Dominion: Intrigue,22572,7.80,40834
7.679,Star Wars: X-Wing Miniatures Game,16002,7.89,103885
7.648,Battlestar Galactica,24687,7.78,37111
7.634,A Feast for Odin,2673,8.42,177736
7.620,Fields of Arle,3154,8.24,159675
7.618,Dominion,54075,7.71,36218
7.612,Great Western Trail,2855,8.30,193738
7.605,Sherlock Holmes Consulting Detective,8406,7.85,2511
7.601,Tigris & Euphrates,19824,7.73,42
7.599,Trajan,9172,7.82,102680
7.599,Russian Railroads,8350,7.84,144733
7.587,Pandemic,59343,7.67,30549
7.586,Castles of Mad King Ludwig,12083,7.76,155426
7.582,Arkham Horror: The Card Game,2858,8.46,205637
7.574,Descent: Journeys in the Dark (Second Edition),13756,7.80,104162
7.569,Crokinole,7405,7.80,521
7.567,War of the Ring (first edition),8857,7.82,9609
7.567,The Resistance: Avalon,14962,7.74,128882
7.564,Mombasa,4182,8.03,172386
7.558,Troyes,10568,7.74,73439
7.553,A Game of Thrones: The Board Game (Second Edition),16811,7.75,103343
7.543,Arcadia Quest,4384,8.03,155068
7.539,Alchemists,9032,7.78,161970
7.539,Stone Age,29282,7.63,34635
7.537,Ora et Labora,7290,7.80,70149
7.532,Kemet,8643,7.77,127023
7.531,Legendary Encounters: An Alien Deck Building Game,5921,7.88,146652
7.523,Nations,7752,7.77,126042
7.515,Suburbia,14091,7.66,123260
7.510,Commands & Colors: Ancients,6706,7.80,14105
7.505,The Gallerist,3230,8.08,125153
7.502,Star Realms,17100,7.65,147020
7.502,Paths of Glory,3528,8.03,91
7.496,Railways of the World,9300,7.71,17133
7.487,Combat Commander: Europe,4256,7.93,21050
7.484,Ticket to Ride: Europe,33880,7.59,14996
7.483,Chaos in the Old World,10907,7.69,43111
7.471,Forbidden Stars,3349,8.08,175155
7.466,Cosmic Encounter,18019,7.61,39463
7.466,Steam,7835,7.69,27833
7.461,Goa,9492,7.65,9216
7.453,Istanbul,11041,7.63,148949
7.450,Splendor,27022,7.56,148228
7.449,Viticulture,5637,7.79,128621
7.443,The Princes of Florence,12980,7.60,555
7.443,Mage Wars Arena,5829,7.84,101721
7.442,The Lord of the Rings: The Card Game,14302,7.65,77423
7.440,Age of Steam,6629,7.70,4098
7.437,La Granja,4461,7.83,146886
7.426,Hansa Teutonica,8108,7.64,43015
7.420,Go,11217,7.68,188
7.419,Tichu,10342,7.61,215
7.419,Ticket to Ride: Nordic Countries,7721,7.67,31627
7.418,Jaipur,16978,7.54,54043
7.418,Village,13096,7.57,104006
7.410,Imperial Settlers,11252,7.60,154203
7.400,Zombicide: Black Plague,3825,8.01,176189
7.399,Legendary: A Marvel Deck Building Game,11748,7.64,129437
7.399,Hannibal: Rome vs. Carthage,4258,7.83,234
7.393,Ticket to Ride,46507,7.49,9209
7.392,Summoner Wars: Master Set,8451,7.63,93260
7.391,Memoir '44,18895,7.53,10630
7.387,Shogun,10230,7.58,20551
7.386,Lewis & Clark,8299,7.60,140620
7.382,Age of Empires III: The Age of Discovery,8755,7.59,22545
7.380,Imperial,7104,7.64,24181
7.377,Galaxy Trucker,19953,7.48,31481
7.377,Dungeon Petz,8263,7.60,97207
