geek_rate,title,num_votes,avg_rate,id
8.487,Pandemic Legacy: Season 1,17707,8.67,161936
8.306,Through the Ages: A New Story of Civilization,7160,8.73,182028
8.221,Twilight Struggle,27266,8.36,12333
8.152,Terra Mystica,24044,8.30,120677
8.150,Star Wars: Rebellion,8492,8.54,187645
8.144,Gloomhaven,3799,9.12,174430
8.078,Scythe,15588,8.33,169786
8.037,Terraforming Mars,8970,8.38,167791
8.027,7 Wonders Duel,20771,8.19,173346
8.007,Caverna: The Cave Farmers,17045,8.18,102794
7.997,The Castles of Burgundy,25228,8.11,84876
7.983,Puerto Rico,48102,8.09,3076
7.963,War of the Ring (Second Edition),6404,8.39,115746
7.962,Agricola,48549,8.06,31260
7.941,Mage Knight Board Game,18351,8.14,96848
7.925,Through the Ages: A Story of Civilization,15384,8.09,25613
7.924,Blood Rage,13831,8.15,170216
7.896,Star Wars: Imperial Assault,11213,8.20,164153
7.864,Power Grid,42289,7.94,2651
7.857,Eclipse,20409,8.01,72125
7.856,Mansions of Madness: Second Edition,6572,8.31,205059
7.850,Mechs vs. Minions,4929,8.38,209010
7.842,Great Western Trail,5315,8.29,193738
7.840,Robinson Crusoe: Adventures on the Cursed Island,18254,8.02,121921
7.833,Arkham Horror: The Card Game,5365,8.41,205637
7.826,Food Chain Magnate,5121,8.29,175914
7.819,Android: Netrunner,20427,8.00,124742
7.813,Brass: Lancashire,10740,8.01,28720
7.809,Le Havre,19006,7.93,35677
7.806,Orléans,8631,8.08,164928
7.795,Codenames,30323,7.90,178900
7.794,Tzolk'in: The Mayan Calendar,17979,7.94,126163
7.791,T.I.M.E Stories,10533,8.04,146508
7.770,Viticulture Essential Edition,5406,8.20,183394
7.759,Concordia,10118,7.98,124361
7.752,Keyflower,11879,7.94,122515
7.748,7 Wonders,52201,7.84,68448
7.729,The Voyages of Marco Polo,9175,7.99,171623
7.726,Caylus,21889,7.86,18602
7.710,Eldritch Horror,16451,7.94,146021
7.710,Dead of Winter: A Crossroads Game,23204,7.86,150376
7.706,Twilight Imperium (Third Edition),15103,7.92,12493
7.693,Patchwork,18912,7.83,163412
7.687,Dominant Species,12996,7.86,62219
7.687,A Feast for Odin,3924,8.29,177736
7.686,Five Tribes,17542,7.83,157354
7.686,Roll for the Galaxy,14489,7.85,132531
7.683,Race for the Galaxy,34478,7.77,28143
7.683,Lords of Waterdeep,29234,7.80,110327
7.675,El Grande,18516,7.80,93
7.671,Dominion: Intrigue,23271,7.79,40834
7.665,Star Wars: X-Wing Miniatures Game,16947,7.88,103885
7.639,Battlestar Galactica,25528,7.77,37111
7.635,Fields of Arle,3567,8.21,159675
7.606,Dominion,56334,7.70,36218
7.605,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,9139,7.85,2511
7.596,Russian Railroads,9024,7.83,144733
